"","follower_count","following_count","like_count","retweet_count","Num_Syllables","Avg_Syllables","Avg_Words_in_Sentences","Flesh.Kincaid","Num_Big_words","Num_Long_Sentences","Num_Sentences","Num_Short_Sentences","Num_Urls","Num_words","Rate_Adv_adj","class","polarity","subjectibity"
"1",4265003,518,62,19,38,1.7826086957,22,14.4147826087,5,0,1,0,1,23,0.0434782609,"real",0.1,0.95
"2",12616790,61,35,15,37,2.2272727273,11,14.9818181818,8,0,2,0,1,22,0.1363636364,"real",0.0625,0.625
"3",210973,263,0,4,19,2.2222222222,8,14.1422222222,4,0,1,1,1,9,0,"real",0,0
"4",1113108,1736,64,17,33,1.5294117647,8,5.7720588235,5,0,2,1,1,17,0.0588235294,"real",0,0
"5",1113108,1736,9,0,10,1.6363636364,5,5.8640909091,4,0,2,1,1,11,0.0909090909,"real",0,0
"6",1113108,1736,27,5,38,2,4.6666666667,9.96,7,0,3,2,1,15,0.0666666667,"real",-0.0625,0.0625
"7",1113108,1736,5,5,29,1.7368421053,18,12.3147368421,5,0,1,0,1,19,0.1578947368,"real",0,0
"8",7041608,4594,173,67,19,2.15,19,17.58,7,0,1,0,1,20,0.05,"real",0,0
"9",210973,263,2,5,26,2.25,3.5,12.52,4,0,2,1,1,8,125,"real",0,0
"10",1113108,1736,9,3,21,2,5.5,10.35,4,0,2,1,1,12,0.0833333333,"real",0.3,0
"11",1113108,1736,18,10,35,2.3333333333,17,18.9633333333,9,0,1,0,1,18,0.0555555556,"real",0.55,0.95
"12",1113108,1736,10,4,30,2,17,15.03,8,0,1,0,1,18,0.0555555556,"real",0,0
"13",4265003,518,26,3,45,2.2777777778,17,18.3077777778,8,0,1,0,1,18,0.1666666667,"real",-0.1,0.2
"14",1113108,1736,9,3,24,2.6,9,18.99,3,0,1,0,1,10,0,"real",0,0
"15",831684,176,6,0,42,2.8666666667,14,24.0866666667,9,0,1,0,1,15,0.1333333333,"real",0.357142857142857,0.571428571428571
"16",1113108,1736,12,1,18,2.2631578947,18,18.5252631579,9,0,1,0,1,19,0.1052631579,"real",0,0
